id_obj,id_kot,id_kec,id_kel,index_risk,index_population,index_infenv,scvi,scvi_cat,population_density,vulnerable_employment_population,population_growth,population
179,Jakarta Timur,Duren Sawit,Malaka Sari,-0.7230006583084522,-0.9425034945751272,0.8151118240226886,-0.8503923288608909,Medium,24477.9329591,0.025962454296863,-0.03777857227982362,32296
180,Jakarta Timur,Duren Sawit,Malaka Jaya,-1.3727355574627402,-1.122570217005539,1.190656853189434,-1.304648921278845,Medium,34268.5523496,0.027958297613450957,-0.05232963379979626,35350
181,Jakarta Timur,Duren Sawit,Pondok Kopi,-1.2555896667330444,0.8497617591703696,0.14034331244113624,-0.2654845951215386,Medium,19456.4416052,0.03790860171873745,-0.029429690901175445,44588
182,Jakarta Timur,Makasar,Makasar,2.234008178835965,1.3728442262919225,-2.0304984570737306,1.576353948054157,High,30340.1412832,0.04569681768302242,-0.03564536269724146,42475
183,Jakarta Timur,Makasar,Pinang Ranti,0.313698330432582,1.0977627606651132,-1.9993900106535192,-0.5879289195558239,Medium,15030.5863982,0.029983183655944757,-0.013482088477935883,35635
184,Jakarta Timur,Makasar,Kebon Pala,0.5257887866161756,0.16843715294564443,-1.6781952351830598,-0.9839692956212398,Medium,24956.0469309,0.045118414228914966,-0.029754909474903342,56966
185,Jakarta Timur,Makasar,Halim Perdana Kusumah,-0.30299746375209446,-4.498015744241846,-6.484757447466592,-11.285770655460531,Very Low,2644.35502277,0.023913370431643856,-0.0375056357078449,34157
186,Jakarta Timur,Makasar,Cipinang Melayu,2.3349222370329774,-1.0073800284014416,0.32258219685760303,1.6501244054891389,High,20138.1596263,0.03316848567530696,-0.036696230598669624,52134
187,Jakarta Timur,Ciracas,Ciracas,2.6252293471527404,-0.43931769329476056,-2.5040568160977963,-0.3181451622398166,Medium,20588.3571134,0.032916468331241795,-0.03017465187632759,82183
188,Jakarta Timur,Ciracas,Cibubur,4.292833870665854,0.9532672074528217,-4.407696074977377,0.8384050031412986,Medium,17084.465729,0.035923899174912816,-0.01486162511928869,84649
189,Jakarta Timur,Ciracas,Kelapa Dua Wetan,4.114250068763206,2.1717199529296454,-3.7113353847563832,2.5746346369364677,High,17891.0552748,0.04233301975540922,-0.007539636711596522,60156
190,Jakarta Timur,Ciracas,Susukan,1.5194515245219073,-1.7585452967256348,-2.835473743436065,-3.0745675156397922,Low,21147.0766313,0.023110000720686093,-0.03496446201429713,47114
191,Jakarta Timur,Ciracas,Rambutan,1.177237877323644,-0.2175447057235897,-2.3986335636884846,-1.4389403920884303,Medium,20074.4880845,0.031758614710035424,-0.02171315993544736,46677
192,Jakarta Timur,Cipayung,Cipayung,0.7633042808487638,0.10005683089542916,-3.778448997629482,-2.9150878858852893,Low,13742.7634774,0.024669976523111266,-0.0036651517372819236,33980
193,Jakarta Timur,Cipayung,Cilangkap,-0.09339897444919787,0.5319389441116398,-5.229537657774034,-4.790997688111592,Low,6501.57169911,0.027033149588461827,0.0034494839248659283,37235
194,Jakarta Timur,Cipayung,Pondok Ranggon,-0.13191245246025618,3.3003636502196496,-7.8652831943703365,-4.696831996610943,Low,7457.80375547,0.043799450993056675,0.008324512973081214,35248
195,Jakarta Timur,Cipayung,Munjul,0.26232715591303224,2.18675808450803,-4.621524225343717,-2.1724389849226546,Low,16714.8346977,0.04223196558570483,6.903476841973139e-4,31890
196,Jakarta Timur,Cipayung,Setu,2.1553890900445585,1.1241871140475739,-4.8727694006756614,-1.5931931965835293,Medium,9716.48548477,0.025329384128281073,6.876583423814694e-4,27649
